Name of the Political Party,Prefix,Denominations,Journal Date,对应的local_node_id,Round
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,OC,10000000,2019-05-08,2575,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-06,2550,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2630,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2253,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2253,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2253,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2253,1
BHARATIYA JANATA PARTY,TL,1000000,2019-05-07,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-08,2253,1
"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",OC,10000000,2019-05-08,2253,1
